ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CU
SanBlasKuna-87_path-1,,SanBlasKuna,87_path,i-kala,i-kala,i + k a l a,,constenla2005,237,,^ i - k a l a $,SanBlasKuna,ch
Cogui-87_path-1,,Cogui,87_path,'hi-ũgula,'hi-ũgula,'h/h i + ũ g u l a,,constenla2005,237,,^ 'h i - ũ g u l a $,Cogui,ch
Arhuaco-87_path-1,,Arhuaco,87_path,'i-ngwənɨ,'i-ngwənɨ,'i/i + n g w ə n ɨ,,constenla2005,237,,^ 'i - n g w ə n ɨ $,Arhuaco,ch
Malayo-87_path-1,,Malayo,87_path,i-nguna,i-nguna,i + n g u n a,,constenla2005,237,,^ i - n g u n a $,Malayo,ch
Chimila-87_path-1,,Chimila,87_path,hi:,hi:,h iː,,constenla2005,237,,^ h i: $,Chimila,ch
Chibcha-87_path-1,,Chibcha,87_path,ie,ie,i e,,constenla2005,237,,^ i e $,Chibcha,ch
CentralTunebo-87_path-1,,CentralTunebo,87_path,'i-bita,'i-bita,'i/i + b i t a,,constenla2005,237,,^ 'i - b i t a $,CentralTunebo,ch
Bari-87_path-1,,Bari,87_path,sikɨ,sikɨ,s i k ɨ,,constenla2005,240,,^ s i k ɨ $,Bari,
LencaSalvador-34_sing-1,,LencaSalvador,34_sing,ihwa,ihwa,i h w a,,constenla2005,241,,^ i h w a $,LencaSalvador,a
LencaHonduras-34_sing-1,,LencaHonduras,34_sing,ikwa,ikwa,i k w a,,constenla2005,241,,^ i k w a $,LencaHonduras,a
Cacaopera-34_sing-1,,Cacaopera,34_sing,bu,bu,b u,,constenla2005,242,,^ b u $,Cacaopera,
Mayangna-34_sing-1,,Mayangna,34_sing,umbau,umbau,u m b a u,,constenla2005,243,,^ u m b a u $,Mayangna,b
Ulwa-34_sing-1,,Ulwa,34_sing,unbau,unbau,u n b a u,,constenla2005,243,,^ u n b a u $,Ulwa,b
Miskito-34_sing-1,,Miskito,34_sing,ajwan,ajwan,a j w a n,,constenla2005,244,,^ a j w a n $,Miskito,
Pech-34_sing-1,,Pech,34_sing,èjèʃ,èjèʃ,è/e j è/e ʃ,,constenla2005,245,,^ è j è ʃ $,Pech,
Rama-34_sing-1,,Rama,34_sing,a:kis,a:kis,aː k i s,,constenla2005,246,,^ a: k i s $,Rama,
MalekuJaika-34_sing-1,,MalekuJaika,34_sing,poɾe:te,poɾe:te,p o ɾ eː t e,,constenla2005,247,,^ p o ɾ e: t e $,MalekuJaika,
Boruca-34_sing-1,,Boruca,34_sing,tàbádʒèŋ,tàbádʒèŋ,t à/a b á/a dʒ è/e ŋ,,constenla2005,248,,^ t à b á dʒ è ŋ $,Boruca,
Bribri-34_sing-1,,Bribri,34_sing,stsɪ,stsɪ,s t s ɪ,,constenla2005,249,,^ s t s ɪ $,Bribri,c
Cabecar-34_sing-1,,Cabecar,34_sing,ksɪ,ksɪ,k s ɪ,,constenla2005,249,,^ k s ɪ $,Cabecar,c
Teribe-34_sing-1,,Teribe,34_sing,tɪ́,tɪ́,t ɪ́/ɪ,,constenla2005,249,,^ t ɪ́ $,Teribe,c
Ngabere-34_sing-1,,Ngabere,34_sing,ka,ka,k a,,constenla2005,250,,^ k a $,Ngabere,d
Buglere-34_sing-1,,Buglere,34_sing,mo gate,mo gate,m o + g a t e,,constenla2005,251,,^ m o + g a t e $,Buglere,
Dorasque-34_sing-1,,Dorasque,34_sing,kayi,kayi,k a j i,,constenla2005,250,,^ k a y i $,Dorasque,d
SanBlasKuna-34_sing-1,,SanBlasKuna,34_sing,na-makke,na-makke,n a + m a k e,,constenla2005,252,,^ n a - m a kk e $,SanBlasKuna,ch
Cogui-34_sing-1,,Cogui,34_sing,'mai,'mai,'m/m a i,,constenla2005,253,,^ 'm a i $,Cogui,e
Arhuaco-34_sing-1,,Arhuaco,34_sing,za'maʒ,za'maʒ,z 'a/a m a ʒ,,constenla2005,253,,^ z a' m a ʒ $,Arhuaco,e
Malayo-34_sing-1,,Malayo,34_sing,ʒamai,ʒamai,ʒ a m a i,,constenla2005,253,,^ ʒ a m a i $,Malayo,e
Chimila-34_sing-1,,Chimila,34_sing,kitta,kitta,k i t a,,constenla2005,254,,^ k i tt a $,Chimila,
Chibcha-34_sing-1,,Chibcha,34_sing,tɨ,tɨ,t ɨ,,constenla2005,252,,^ t ɨ $,Chibcha,ch
CentralTunebo-34_sing-1,,CentralTunebo,34_sing,'ta,'ta,'t/t a,,constenla2005,252,,^ 't a $,CentralTunebo,ch
Bari-34_sing-1,,Bari,34_sing,tiba:,tiba:,t i b aː,,constenla2005,255,,^ t i b a: $,Bari,
LencaSalvador-5_meat-1,,LencaSalvador,5_meat,waʃa,waʃa,w a ʃ a,,constenla2005,256,,^ w a ʃ a $,LencaSalvador,a
LencaHonduras-5_meat-1,,LencaHonduras,5_meat,rak,rak,r a k,,constenla2005,257,,^ r a k $,LencaHonduras,
Cacaopera-5_meat-1,,Cacaopera,5_meat,nakat,nakat,n a k a t,,constenla2005,258,,^ n a k a t $,Cacaopera,
Mayangna-5_meat-1,,Mayangna,5_meat,di muihni,di muihni,d i + m u i h n i,,constenla2005,259,,^ d i + m u i h n i $,Mayangna,
Ulwa-5_meat-1,,Ulwa,5_meat,di muihka,di muihka,d i + m u i h k a,,constenla2005,260,,^ d i + m u i h k a $,Ulwa,
Miskito-5_meat-1,,Miskito,5_meat,wina,wina,w i n a,,constenla2005,256,,^ w i n a $,Miskito,a
Pech-5_meat-1,,Pech,5_meat,jùku,jùku,j ù/u k u,,constenla2005,261,,^ j ù k u $,Pech,
Rama-5_meat-1,,Rama,5_meat,kas,kas,k a s,,constenla2005,262,,^ k a s $,Rama,
MalekuJaika-5_meat-1,,MalekuJaika,5_meat,ɬiki:,ɬiki:,ɬ i k iː,,constenla2005,263,,^ ɬ i k i: $,MalekuJaika,c
Boruca-5_meat-1,,Boruca,5_meat,ùɾáŋ,ùɾáŋ,ù/u ɾ á/a ŋ,,constenla2005,264,,^ ù ɾ á ŋ $,Boruca,ch
Bribri-5_meat-1,,Bribri,5_meat,tʃká,tʃká,tʃ k á/a,,constenla2005,265,,^ tʃ k á $,Bribri,d
Cabecar-5_meat-1,,Cabecar,5_meat,dʒaka,dʒaka,dʒ a k a,,constenla2005,265,,^ dʒ a k a $,Cabecar,d
Teribe-5_meat-1,,Teribe,5_meat,ʃò,ʃò,ʃ ò/o,,constenla2005,266,,^ ʃ ò $,Teribe,e
Ngabere-5_meat-1,,Ngabere,5_meat,ŋɔtɔ,ŋɔtɔ,ŋ ɔ t ɔ,,constenla2005,267,,^ ŋ ɔ t ɔ $,Ngabere,f
Buglere-5_meat-1,,Buglere,5_meat,udá,udá,u d á/a,,constenla2005,264,,^ u d á $,Buglere,ch
Dorasque-5_meat-1,,Dorasque,5_meat,síá,síá,s í/i á/a,,constenla2005,266,,^ s í á $,Dorasque,e
SanBlasKuna-5_meat-1,,SanBlasKuna,5_meat,sana,sana,s a n a,,constenla2005,267,,^ s a n a $,SanBlasKuna,f
Cogui-5_meat-1,,Cogui,5_meat,'gata,'gata,'g/g a t a,,constenla2005,267,,^ 'g a t a $,Cogui,f
Arhuaco-5_meat-1,,Arhuaco,5_meat,'gətʃɨ,'gətʃɨ,'g/g ə tʃ ɨ,,constenla2005,267,,^ 'g ə tʃ ɨ $,Arhuaco,f
Malayo-5_meat-1,,Malayo,5_meat,gɨ'ta,gɨ'ta,g ɨ 't/t a,,constenla2005,267,,^ g ɨ 't a $,Malayo,f
Chimila-5_meat-1,,Chimila,5_meat,eŋŋatta,eŋŋatta,e ŋ a t a,,constenla2005,267,,^ e ŋŋ a tt a $,Chimila,f
Chibcha-5_meat-1,,Chibcha,5_meat,tʲihika,tʲihika,tʲ i h i k a,,constenla2005,263,,^ tʲ i h i k a $,Chibcha,c
CentralTunebo-5_meat-1,,CentralTunebo,5_meat,'ɾuwa,'ɾuwa,'ɾ/ɾ u w a,,constenla2005,268,,^ 'ɾ u w a $,CentralTunebo,
Bari-5_meat-1,,Bari,5_meat,aidi.,aidi.,a i d i,,constenla2005,269,,^ a i d i . $,Bari,
LencaSalvador-69_ash-1,,LencaSalvador,69_ash,pilil,pilil,p i l i l,,constenla2005,270,,^ p i l i l $,LencaSalvador,a
LencaHonduras-69_ash-1,,LencaHonduras,69_ash,pokko,pokko,p o k o,,constenla2005,271,,^ p o kk o $,LencaHonduras,
Cacaopera-69_ash-1,,Cacaopera,69_ash,wabu,wabu,w a b u,,constenla2005,272,,^ w a b u $,Cacaopera,b
Mayangna-69_ash-1,,Mayangna,69_ash,wan,wan,w a n,,constenla2005,272,,^ w a n $,Mayangna,b
Ulwa-69_ash-1,,Ulwa,69_ash,kauh,kauh,k a u h,,constenla2005,273,,^ k a u h $,Ulwa,
Miskito-69_ash-1,,Miskito,69_ash,jamhpus,jamhpus,j a m h p u s,,constenla2005,274,,^ j a m h p u s $,Miskito,
Pech-69_ash-1,,Pech,69_ash,tokó,tokó,t o k ó/o,,constenla2005,275,,^ t o k ó $,Pech,
Rama-69_ash-1,,Rama,69_ash,pluŋ,pluŋ,p l u ŋ,,constenla2005,270,,^ p l u ŋ $,Rama,a
MalekuJaika-69_ash-1,,MalekuJaika,69_ash,puɾu:,puɾu:,p u ɾ uː,,constenla2005,270,,^ p u ɾ u: $,MalekuJaika,a
Boruca-69_ash-1,,Boruca,69_ash,bɾùŋ,bɾùŋ,b ɾ ù/u ŋ,,constenla2005,270,,^ b ɾ ù ŋ $,Boruca,a
Bribri-69_ash-1,,Bribri,69_ash,buɺṹ,buɺṹ,b u ɺ ṹ/ũ,,constenla2005,270,,^ b u ɺ ṹ $,Bribri,a
Cabecar-69_ash-1,,Cabecar,69_ash,buɺi᷅tú,buɺi᷅tú,b u ɺ i᷅/i t ú/u,,constenla2005,270,,^ b u ɺ i᷅ t ú $,Cabecar,a
Teribe-69_ash-1,,Teribe,69_ash,ɸɺúŋ,ɸɺúŋ,ɸ ɺ ú/u ŋ,,constenla2005,270,,^ ɸ ɺ ú ŋ $,Teribe,a
Ngabere-69_ash-1,,Ngabere,69_ash,ŋɯbɾɯ,ŋɯbɾɯ,ŋ ɯ b ɾ ɯ,,constenla2005,270,,^ ŋ ɯ b ɾ ɯ $,Ngabere,a
Buglere-69_ash-1,,Buglere,69_ash,mnu,mnu,m n u,,constenla2005,270,,^ m n u $,Buglere,a
Dorasque-69_ash-1,,Dorasque,69_ash,bulku,bulku,b u l k u,,constenla2005,270,,^ b u l k u $,Dorasque,a
SanBlasKuna-69_ash-1,,SanBlasKuna,69_ash,puɾu,puɾu,p u ɾ u,,constenla2005,270,,^ p u ɾ u $,SanBlasKuna,a
Cogui-69_ash-1,,Cogui,69_ash,'muli,'muli,'m/m u l i,,constenla2005,270,,^ 'm u l i $,Cogui,a
Arhuaco-69_ash-1,,Arhuaco,69_ash,'bunzəga,'bunzəga,'b/b u n z ə g a,,constenla2005,270,,^ 'b u n z ə g a $,Arhuaco,a
Malayo-69_ash-1,,Malayo,69_ash,bɨn,bɨn,b ɨ n,,constenla2005,270,,^ b ɨ n $,Malayo,a
Chimila-69_ash-1,,Chimila,69_ash,'buhŋaʔ,'buhŋaʔ,'b/b u h ŋ a ʔ,,constenla2005,270,,^ 'b u h ŋ a ʔ $,Chimila,a
Chibcha-69_ash-1,,Chibcha,69_ash,βuskɨ,βuskɨ,β u s k ɨ,,constenla2005,270,,^ β u s k ɨ $,Chibcha,a
CentralTunebo-69_ash-1,,CentralTunebo,69_ash,'buɾa,'buɾa,'b/b u ɾ a,,constenla2005,270,,^ 'b u ɾ a $,CentralTunebo,a
Bari-69_ash-1,,Bari,69_ash,ibũdɪ̃,ibũdɪ̃,i b ũ d ɪ̃,,constenla2005,270,,^ i b ũ d ɪ̃ $,Bari,a
LencaSalvador-33_five-1,,LencaSalvador,33_five,ts'aj,ts'aj,t s 'a/a j,,constenla2005,276,,^ t s 'a j $,LencaSalvador,a
LencaHonduras-33_five-1,,LencaHonduras,33_five,saj,saj,s a j,,constenla2005,276,,^ s a j $,LencaHonduras,a
Cacaopera-33_five-1,,Cacaopera,33_five,dukan panaka,dukan panaka,d u k a n + p a n a k a,,constenla2005,277,,^ d u k a n + p a n a k a $,Cacaopera,
Mayangna-33_five-1,,Mayangna,33_five,sinka,sinka,s i n k a,,constenla2005,278,,^ s i n k a $,Mayangna,b
Ulwa-33_five-1,,Ulwa,33_five,sinka,sinka,s i n k a,,constenla2005,278,,^ s i n k a $,Ulwa,b
Miskito-33_five-1,,Miskito,33_five,matsip,matsip,m a t s i p,,constenla2005,279,,^ m a t s i p $,Miskito,
Pech-33_five-1,,Pech,33_five,ṍki,ṍki,ṍ/õ k i,,constenla2005,280,,^ ṍ k i $,Pech,
Rama-33_five-1,,Rama,33_five,kwikistaɾ,kwikistaɾ,k w i k i s t a ɾ,,constenla2005,281,,^ k w i k i s t a ɾ $,Rama,
MalekuJaika-33_five-1,,MalekuJaika,33_five,otiŋ,otiŋ,o t i ŋ,,constenla2005,282,,^ o t i ŋ $,MalekuJaika,c
Boruca-33_five-1,,Boruca,33_five,ʃìskáŋ,ʃìskáŋ,ʃ ì/i s k á/a ŋ,,constenla2005,283,,^ ʃ ì s k á ŋ $,Boruca,ch
Bribri-33_five-1,,Bribri,33_five,skẽ,skẽ,s k ẽ,,constenla2005,283,,^ s k ẽ $,Bribri,ch
Cabecar-33_five-1,,Cabecar,33_five,skẽ,skẽ,s k ẽ,,constenla2005,283,,^ s k ẽ $,Cabecar,ch
Teribe-33_five-1,,Teribe,33_five,ʃkíŋ,ʃkíŋ,ʃ k í/i ŋ,,constenla2005,283,,^ ʃ k í ŋ $,Teribe,ch
Ngabere-33_five-1,,Ngabere,33_five,ɾike,ɾike,ɾ i k e,,constenla2005,283,,^ ɾ i k e $,Ngabere,ch
Buglere-33_five-1,,Buglere,33_five,tiga,tiga,t i g a,,constenla2005,283,,^ t i g a $,Buglere,ch
Dorasque-33_five-1,,Dorasque,33_five,male,male,m a l e,,constenla2005,284,,^ m a l e $,Dorasque,
SanBlasKuna-33_five-1,,SanBlasKuna,33_five,attale,attale,a t a l e,,constenla2005,285,,^ a tt a l e $,SanBlasKuna,
Cogui-33_five-1,,Cogui,33_five,ha'tʃigua,ha'tʃigua,h a 't/t ʃ i g u a,,constenla2005,282,,^ h a 't ʃ i g u a $,Cogui,c
Arhuaco-33_five-1,,Arhuaco,33_five,a'sewa,a'sewa,'a/a s e w a,,constenla2005,282,,^ a' s e w a $,Arhuaco,c
Malayo-33_five-1,,Malayo,33_five,əhtʃigua,əhtʃigua,ə h tʃ i g u a,,constenla2005,282,,^ ə h tʃ i g u a $,Malayo,c
Chimila-33_five-1,,Chimila,33_five,dʒe:mekenta,dʒe:mekenta,dʒ eː m e k e n t a,,constenla2005,286,,^ dʒ e: m e k e n t a $,Chimila,
Chibcha-33_five-1,,Chibcha,33_five,hɨtska,hɨtska,h ɨ t s k a,,constenla2005,282,,^ h ɨ t s k a $,Chibcha,c
CentralTunebo-33_five-1,,CentralTunebo,33_five,e'sia,e'sia,e 's/s i a,,constenla2005,282,,^ e 's i a $,CentralTunebo,c
Bari-33_five-1,,Bari,33_five,koba,koba,k o b a,,constenla2005,287,,^ k o b a $,Bari,
LencaSalvador-81_tail-1,,LencaSalvador,81_tail,ts'oh,ts'oh,t s 'o/o h,,constenla2005,288,,^ t s 'o h $,LencaSalvador,
LencaHonduras-81_tail-1,,LencaHonduras,81_tail,wan,wan,w a n,,constenla2005,289,,^ w a n $,LencaHonduras,a
Cacaopera-81_tail-1,,Cacaopera,81_tail,kuna,kuna,k u n a,,constenla2005,290,,^ k u n a $,Cacaopera,
Mayangna-81_tail-1,,Mayangna,81_tail,mamah,mamah,m a m a h,,constenla2005,291,,^ m a m a h $,Mayangna,
Ulwa-81_tail-1,,Ulwa,81_tail,umah,umah,u m a h,,constenla2005,292,,^ u m a h $,Ulwa,
Miskito-81_tail-1,,Miskito,81_tail,wajka,wajka,w a j k a,,constenla2005,289,,^ w a j k a $,Miskito,a
Pech-81_tail-1,,Pech,81_tail,pàɾ,pàɾ,p à/a ɾ,,constenla2005,293,,^ p à ɾ $,Pech,b
Rama-81_tail-1,,Rama,81_tail,tuk,tuk,t u k,,constenla2005,294,,^ t u k $,Rama,c
MalekuJaika-81_tail-1,,MalekuJaika,81_tail,tuki:,tuki:,t u k iː,,constenla2005,294,,^ t u k i: $,MalekuJaika,c
Boruca-81_tail-1,,Boruca,81_tail,kuàntsá,kuàntsá,k u à/a n t s á/a,,constenla2005,295,,^ k u à n t s á $,Boruca,
Bribri-81_tail-1,,Bribri,81_tail,baɺḗk,baɺḗk,b a ɺ ẽ́/ẽ k,,constenla2005,293,,^ b a ɺ ḗ k $,Bribri,b
Cabecar-81_tail-1,,Cabecar,81_tail,baɺḗk,baɺḗk,b a ɺ ẽ́/ẽ k,,constenla2005,293,,^ b a ɺ ḗ k $,Cabecar,b
Teribe-81_tail-1,,Teribe,81_tail,ɸɺàk,ɸɺàk,ɸ ɺ à/a k,,constenla2005,293,,^ ɸ ɺ à k $,Teribe,b
Ngabere-81_tail-1,,Ngabere,81_tail,kɯbaɾa,kɯbaɾa,k ɯ b a ɾ a,,constenla2005,293,,^ k ɯ b a ɾ a $,Ngabere,b
Buglere-81_tail-1,,Buglere,81_tail,skugda,skugda,s k u g d a,,constenla2005,296,,^ s k u g d a $,Buglere,
Dorasque-81_tail-1,,Dorasque,81_tail,dug,dug,d u g,,constenla2005,294,,^ d u g $,Dorasque,c
SanBlasKuna-81_tail-1,,SanBlasKuna,81_tail,punnu,punnu,p u n u,,constenla2005,297,,^ p u nn u $,SanBlasKuna,ch
Cogui-81_tail-1,,Cogui,81_tail,'nugi,'nugi,'n/n u g i,,constenla2005,294,,^ 'n u g i $,Cogui,c
Arhuaco-81_tail-1,,Arhuaco,81_tail,'dʒoʔo,'dʒoʔo,'d/d ʒ o ʔ o,,constenla2005,294,,^ 'd ʒ o ʔ o $,Arhuaco,c
Malayo-81_tail-1,,Malayo,81_tail,duʃkɨna,duʃkɨna,d u ʃ k ɨ n a,,constenla2005,294,,^ d u ʃ k ɨ n a $,Malayo,c
Chimila-81_tail-1,,Chimila,81_tail,bukɾa,bukɾa,b u k ɾ a,,constenla2005,297,,^ b u k ɾ a $,Chimila,ch
Chibcha-81_tail-1,,Chibcha,81_tail,suhuka,suhuka,s u h u k a,,constenla2005,294,,^ s u h u k a $,Chibcha,c
CentralTunebo-81_tail-1,,CentralTunebo,81_tail,ɾusta'ɾa,ɾusta'ɾa,ɾ u s t 'a/a ɾ a,,constenla2005,294,,^ ɾ u s t a' ɾ a $,CentralTunebo,c
Bari-81_tail-1,,Bari,81_tail,anikku,anikku,a n i k u,,constenla2005,298,,^ a n i kk u $,Bari,
LencaSalvador-60_eat-1,,LencaSalvador,60_eat,rom,rom,r o m,,constenla2005,299,,^ r o m $,LencaSalvador,
LencaHonduras-60_eat-1,,LencaHonduras,60_eat,koɾ,koɾ,k o ɾ,,constenla2005,300,,^ k o ɾ $,LencaHonduras,a
Cacaopera-60_eat-1,,Cacaopera,60_eat,duri,duri,d u r i,,constenla2005,301,,^ d u r i $,Cacaopera,
Mayangna-60_eat-1,,Mayangna,60_eat,kas,kas,k a s,,constenla2005,300,,^ k a s $,Mayangna,a
Ulwa-60_eat-1,,Ulwa,60_eat,kas,kas,k a s,,constenla2005,300,,^ k a s $,Ulwa,a
Miskito-60_eat-1,,Miskito,60_eat,pi,pi,p i,,constenla2005,302,,^ p i $,Miskito,
Pech-60_eat-1,,Pech,60_eat,ã̀ʔ,ã̀ʔ,ã̀/ã ʔ,,constenla2005,303,,^ ã̀ ʔ $,Pech,
Rama-60_eat-1,,Rama,60_eat,altuŋwa,altuŋwa,a l t u ŋ w a,,constenla2005,304,,^ a l t u ŋ w a $,Rama,b
MalekuJaika-60_eat-1,,MalekuJaika,60_eat,laki:,laki:,l a k iː,,constenla2005,305,,^ l a k i: $,MalekuJaika,
Boruca-60_eat-1,,Boruca,60_eat,túʔ,túʔ,t ú/u ʔ,,constenla2005,304,,^ t ú ʔ $,Boruca,b
Bribri-60_eat-1,,Bribri,60_eat,tʃka,tʃka,tʃ k a,,constenla2005,306,,^ tʃ k a $,Bribri,c
Cabecar-60_eat-1,,Cabecar,60_eat,dʒakɪ,dʒakɪ,dʒ a k ɪ,,constenla2005,306,,^ dʒ a k ɪ $,Cabecar,c
Teribe-60_eat-1,,Teribe,60_eat,ií,ií,i í/i,,constenla2005,307,,^ i í $,Teribe,
Ngabere-60_eat-1,,Ngabere,60_eat,mɾɣɾe,mɾɣɾe,m ɾ ɣ ɾ e,,constenla2005,308,,^ m ɾ ɣ ɾ e $,Ngabere,ch
Buglere-60_eat-1,,Buglere,60_eat,bliɾe,bliɾe,b l i ɾ e,,constenla2005,308,,^ b l i ɾ e $,Buglere,ch
Dorasque-60_eat-1,,Dorasque,60_eat,kut,kut,k u t,,constenla2005,309,,^ k u t $,Dorasque,d
SanBlasKuna-60_eat-1,,SanBlasKuna,60_eat,kunne,kunne,k u n e,,constenla2005,309,,^ k u nn e $,SanBlasKuna,d
Cogui-60_eat-1,,Cogui,60_eat,'za,'za,'z/z a,,constenla2005,310,,^ 'z a $,Cogui,e
Arhuaco-60_eat-1,,Arhuaco,60_eat,'z,'z,'z/z,,constenla2005,310,,^ 'z $,Arhuaco,e
Malayo-60_eat-1,,Malayo,60_eat,ʒa,ʒa,ʒ a,,constenla2005,310,,^ ʒ a $,Malayo,e
Chimila-60_eat-1,,Chimila,60_eat,'kenne,'kenne,'k/k e n e,,constenla2005,311,,^ 'k e nn e $,Chimila,
Chibcha-60_eat-1,,Chibcha,60_eat,so,so,s o,,constenla2005,312,,^ s o $,Chibcha,
CentralTunebo-60_eat-1,,CentralTunebo,60_eat,ja'jin,ja'jin,j 'a/a j i n,,constenla2005,313,,^ j a' j i n $,CentralTunebo,
Bari-60_eat-1,,Bari,60_eat,dà,dà,d à/a,,constenla2005,314,,^ d à $,Bari,
LencaSalvador-28_with-1,,LencaSalvador,28_with,teN,teN,t e n,,constenla2005,315,,^ t e N $,LencaSalvador,a
LencaHonduras-28_with-1,,LencaHonduras,28_with,man,man,m a n,,constenla2005,316,,^ m a n $,LencaHonduras,b
Cacaopera-28_with-1,,Cacaopera,28_with,tiwa,tiwa,t i w a,,constenla2005,315,,^ t i w a $,Cacaopera,a
Mayangna-28_with-1,,Mayangna,28_with,karak,karak,k a r a k,,constenla2005,317,,^ k a r a k $,Mayangna,c
Ulwa-28_with-1,,Ulwa,28_with,karak,karak,k a r a k,,constenla2005,317,,^ k a r a k $,Ulwa,c
Miskito-28_with-1,,Miskito,28_with,wal,wal,w a l,,constenla2005,318,,^ w a l $,Miskito,
Pech-28_with-1,,Pech,28_with,jó,jó,j ó/o,,constenla2005,319,,^ j ó $,Pech,ch
Rama-28_with-1,,Rama,28_with,u,u,u,,constenla2005,319,,^ u $,Rama,ch
MalekuJaika-28_with-1,,MalekuJaika,28_with,ʝu,ʝu,ʝ u,,constenla2005,319,,^ ʝ u $,MalekuJaika,ch
Boruca-28_with-1,,Boruca,28_with,màŋ,màŋ,m à/a ŋ,,constenla2005,316,,^ m à ŋ $,Boruca,b
Bribri-28_with-1,,Bribri,28_with,tã̀,tã̀,t ã̀/ã,,constenla2005,320,,^ t ã̀ $,Bribri,d
Cabecar-28_with-1,,Cabecar,28_with,dà,dà,d à/a,,constenla2005,321,,^ d à $,Cabecar,e
Teribe-28_with-1,,Teribe,28_with,tʰó,tʰó,tʰ ó/o,,constenla2005,320,,^ tʰ ó $,Teribe,d
Ngabere-28_with-1,,Ngabere,28_with,be,be,b e,,constenla2005,316,,^ b e $,Ngabere,b
Buglere-28_with-1,,Buglere,28_with,ole,ole,o l e,,constenla2005,322,,^ o l e $,Buglere,
Dorasque-28_with-1,,Dorasque,28_with,ba,ba,b a,,constenla2005,316,,^ b a $,Dorasque,b
SanBlasKuna-28_with-1,,SanBlasKuna,28_with,pa,pa,p a,,constenla2005,316,,^ p a $,SanBlasKuna,b
Cogui-28_with-1,,Cogui,28_with,na,na,n a,,constenla2005,321,,^ n a $,Cogui,e
Arhuaco-28_with-1,,Arhuaco,28_with,sin,sin,s i n,,constenla2005,323,,^ s i n $,Arhuaco,
Malayo-28_with-1,,Malayo,28_with,nɨn,nɨn,n ɨ n,,constenla2005,321,,^ n ɨ n $,Malayo,e
Chimila-28_with-1,,Chimila,28_with,ah,ah,a h,,constenla2005,324,,^ a h $,Chimila,f
Chibcha-28_with-1,,Chibcha,28_with,βohotsa,βohotsa,β o h o t s a,,constenla2005,325,,^ β o h o t s a $,Chibcha,
CentralTunebo-28_with-1,,CentralTunebo,28_with,ʃor,ʃor,ʃ o r,,constenla2005,326,,^ ʃ o r $,CentralTunebo,
Bari-28_with-1,,Bari,28_with,ãhã,ãhã,ã h ã,,constenla2005,324,,^ ã h ã $,Bari,f
LencaSalvador-36_cut-1,,LencaSalvador,36_cut,t'ih,t'ih,t 'i/i h,,constenla2005,327,,^ t 'i h $,LencaSalvador,a
LencaHonduras-36_cut-1,,LencaHonduras,36_cut,taj,taj,t a j,,constenla2005,327,,^ t a j $,LencaHonduras,a
Cacaopera-36_cut-1,,Cacaopera,36_cut,kat,kat,k a t,,constenla2005,328,,^ k a t $,Cacaopera,
Mayangna-36_cut-1,,Mayangna,36_cut,dak,dak,d a k,,constenla2005,327,,^ d a k $,Mayangna,a
Ulwa-36_cut-1,,Ulwa,36_cut,dak,dak,d a k,,constenla2005,327,,^ d a k $,Ulwa,a
Miskito-36_cut-1,,Miskito,36_cut,klak,klak,k l a k,,constenla2005,329,,^ k l a k $,Miskito,
Pech-36_cut-1,,Pech,36_cut,tàs,tàs,t à/a s,,constenla2005,330,,^ t à s $,Pech,b
Rama-36_cut-1,,Rama,36_cut,a: ŋtk,a: ŋtk,aː + ŋ t k,,constenla2005,331,,^ a: + ŋ t k $,Rama,c
MalekuJaika-36_cut-1,,MalekuJaika,36_cut,ɬati:,ɬati:,ɬ a t iː,,constenla2005,332,,^ ɬ a t i: $,MalekuJaika,
Boruca-36_cut-1,,Boruca,36_cut,tàs,tàs,t à/a s,,constenla2005,330,,^ t à s $,Boruca,b
Bribri-36_cut-1,,Bribri,36_cut,tɪ,tɪ,t ɪ,,constenla2005,333,,^ t ɪ $,Bribri,ch
Cabecar-36_cut-1,,Cabecar,36_cut,tɪ,tɪ,t ɪ,,constenla2005,333,,^ t ɪ $,Cabecar,ch
Teribe-36_cut-1,,Teribe,36_cut,zí,zí,z í/i,,constenla2005,334,,^ z í $,Teribe,
Ngabere-36_cut-1,,Ngabere,36_cut,tikekɔ,tikekɔ,t i k e k ɔ,,constenla2005,333,,^ t i k e k ɔ $,Ngabere,ch
Buglere-36_cut-1,,Buglere,36_cut,date,date,d a t e,,constenla2005,335,,^ d a t e $,Buglere,
Dorasque-36_cut-1,,Dorasque,36_cut,togli,togli,t o g l i,,constenla2005,336,,^ t o g l i $,Dorasque,
SanBlasKuna-36_cut-1,,SanBlasKuna,36_cut,sikke,sikke,s i k e,,constenla2005,337,,^ s i kk e $,SanBlasKuna,
Cogui-36_cut-1,,Cogui,36_cut,'men,'men,'m/m e n,,constenla2005,338,,^ 'm e n $,Cogui,
Arhuaco-36_cut-1,,Arhuaco,36_cut,ɾeʔ'beis,ɾeʔ'beis,ɾ e ʔ 'b/b e i s,,constenla2005,339,,^ ɾ e ʔ 'b e i s $,Arhuaco,
Malayo-36_cut-1,,Malayo,36_cut,koʃ,koʃ,k o ʃ,,constenla2005,340,,^ k o ʃ $,Malayo,
