ID,Language,Concept,Form
868,Su,THIS,a:dika
869,Ul,THIS,a:ka
870,Mi,THIS,nãhã
871,Pa,THIS,ĩ́
872,Ra,THIS,niŋ
873,Gua,THIS,ni:
874,Bor,THIS,uéʔ
875,Bri,THIS,ɪ̌ʔ
876,Cab,THIS,hí
877,Te,THIS,hũ
878,Mo,THIS,ne
879,Bor,THIS,ai
880,Dor,THIS,
881,Cu,THIS,we
882,Co,THIS,'hale
883,Ica,THIS,'ema
884,Da,THIS,ima
885,Chi,THIS,naʔna
886,Mu,THIS,sisɨ
887,Tun,THIS,'uʃa
888,Ba,THIS,inabãi
889,LS,FLOWER,ʃila
890,LH,FLOWER,suna
891,Ca,FLOWER,bas
892,Su,FLOWER,pulu
893,Ul,FLOWER,pulu
894,Mi,FLOWER,taŋni
895,Pa,FLOWER,ãwhá
896,Ra,FLOWER,uɾuk
897,Gua,FLOWER,ɬu:tu
898,Bor,FLOWER,sɾùt
899,Bri,FLOWER,duká
900,Cab,FLOWER,uʊ́dkuà
901,Te,FLOWER,kʰólòŋ
902,Mo,FLOWER,blɯ
903,Bor,FLOWER,hɾa
904,Dor,FLOWER,shii
905,Cu,FLOWER,tuttu
906,Co,FLOWER,'humʃi
907,Ica,FLOWER,tin'sana
908,Da,FLOWER,ʃoma
909,Chi,FLOWER,'kusaŋgɾa
910,Mu,FLOWER,uβa
911,Tun,FLOWER,'suwa
912,Ba,FLOWER,sũdũ
913,LS,COLD,ts'ana
914,LH,COLD,miti
915,Ca,COLD,tusni
916,Su,COLD,saŋni
917,Ul,COLD,ripka
918,Mi,COLD,kahula
919,Pa,COLD,sã̀jwá
920,Ra,COLD,saima
921,Gua,COLD,tʃitʃi:xa
922,Bor,COLD,sèxká
923,Bri,COLD,sẽ̂ssẽ̌
924,Cab,COLD,tsḗ
925,Te,COLD,séntè
926,Mo,COLD,tibo
927,Bor,COLD,skeke
928,Dor,COLD,saiga
929,Cu,COLD,tiopikwa
930,Co,COLD,ʃu'izala
931,Ica,COLD,kɨ kawa
932,Da,COLD,se
933,Chi,COLD,sa:hnihka:
934,Mu,COLD,nɨko
935,Tun,COLD,'seroa
936,Ba,COLD,te:
937,LS,FIRE,ik'aN
938,LH,FIRE,juka
939,Ca,FIRE,lawali
940,Su,FIRE,kuh
941,Ul,FIRE,kuh
942,Mi,FIRE,pawta
943,Pa,FIRE,tã̀jwã́
944,Ra,FIRE,abuŋ
945,Gua,FIRE,kue:
946,Bor,FIRE,dʒìkɾá
947,Bri,FIRE,bʊ̌uʊ̀
948,Cab,FIRE,dʒʊkʊ́
949,Te,FIRE,iʊ̀k
950,Mo,FIRE,ɲukwɔ
951,Bor,FIRE,hita
952,Dor,FIRE,kebú
953,Cu,FIRE,so:
954,Co,FIRE,gauk'sei
955,Ica,FIRE,gei
956,Da,FIRE,gie
957,Chi,FIRE,pɾi:mu
958,Mu,FIRE,ɣata
959,Tun,FIRE,'oka
960,Ba,FIRE,kane
961,LS,HIT,maʃ
962,LH,HIT,imas
963,Ca,HIT,du
964,Su,HIT,bau
965,Ul,HIT,bau
966,Mi,HIT,pruk
967,Pa,HIT,màs
968,Ra,HIT,kaŋ
969,Gua,HIT,koro:
970,Bor,HIT,báxt
971,Bri,HIT,tɪ
972,Cab,HIT,tɪ
973,Te,HIT,ʃpók
974,Mo,HIT,met
975,Bor,HIT,bate
976,Dor,HIT,
977,Cu,HIT,saɾsoke
978,Co,HIT,'muʃ
979,Ica,HIT,agu'pəss
980,Da,HIT,'paʃ
981,Chi,HIT,ha: sagɾi
982,Mu,HIT,ɣɨi
983,Tun,HIT,bu'ki
984,Ba,HIT,da
985,LS,BIG,puka
986,LH,BIG,puki
987,Ca,BIG,bajaka
988,Su,BIG,nuhni
989,Ul,BIG,sikka
990,Mi,BIG,ta:ɾa
991,Pa,BIG,àʔká
992,Ra,BIG,ta:ɾa
993,Gua,BIG,ni:kaŋe:
994,Bor,BIG,kɾíʔ
995,Bri,BIG,bɪ̌diè
996,Cab,BIG,tã́ĩ́
997,Te,BIG,kɪ́s
998,Mo,BIG,kɾi
999,Bor,BIG,kweɾi
1000,Dor,BIG,óci
1001,Cu,BIG,tumma
1002,Co,BIG,a'tema
1003,Ica,BIG,a'wənʔ kawa
1004,Da,BIG,aiku'ia
1005,Chi,BIG,ku'e:ɾi'tuʔ
1006,Mu,BIG,kuhuma
1007,Tun,BIG,'kumakɾo
1008,Ba,BIG,ba
1009,LS,WORM,ts'its'a
1010,LH,WORM,suɾu
1011,Ca,WORM,bil
1012,Su,WORM,ba:bil
1013,Ul,WORM,bil
1014,Mi,WORM,liwa
1015,Pa,WORM,wíʔ
1016,Ra,WORM,bi:ɾu
1017,Gua,WORM,kara:ki
1018,Bor,WORM,dʒíŋ
1019,Bri,WORM,ɪ̃̂
1020,Cab,WORM,hĩ́
1021,Te,WORM,ʃtó
1022,Mo,WORM,ŋĩ
1023,Bor,WORM,gwi
1024,Dor,WORM,kisi
1025,Cu,WORM,nusu
1026,Co,WORM,ʒi
1027,Ica,WORM,zi
1028,Da,WORM,di
1029,Chi,WORM,'bɾuuʔ
1030,Mu,WORM,tsina
1031,Tun,WORM,ɾim'ja
1032,Ba,WORM,iʃanaba
1033,LS,TALK,ʃakini
1034,LH,TALK,mol
1035,Ca,TALK,piswa
1036,Su,TALK,jul
1037,Ul,TALK,julbau
1038,Mi,TALK,ajs
1039,Pa,TALK,kapáʃ
1040,Ra,TALK,baltiŋ
1041,Gua,TALK,ɬai:ki
1042,Bor,TALK,tèk
1043,Bri,TALK,ut
1044,Cab,TALK,utɪ
1045,Te,TALK,thẽɺẽ́
1046,Mo,TALK,blit
1047,Bor,TALK,geɾule
1048,Dor,TALK,set
1049,Cu,TALK,sunmakke
1050,Co,TALK,'neʃ
1051,Ica,TALK,asei
1052,Da,TALK,ashé
1053,Chi,TALK,ta:ɾaŋ
1054,Mu,TALK,kuβu
1055,Tun,TALK,te'w̃inɾo
1056,Ba,TALK,ana
1057,LS,SISTER,peleh
1058,LH,SISTER,pela
1059,Ca,SISTER,tʃa
1060,Su,SISTER,ami
1061,Ul,SISTER,ami:
1062,Mi,SISTER,lakra
1063,Pa,SISTER,pàʔʃà
1064,Ra,SISTER,sa:suk
1065,Gua,SISTER,ɬaka:tʃuma:
1066,Bor,SISTER,suíʔ
1067,Bri,SISTER,kutá
1068,Cab,SISTER,kutà
1069,Te,SISTER,dóɾ
1070,Mo,SISTER,ŋuãĩ
1071,Bor,SISTER,da'baia
1072,Dor,SISTER,bek
1073,Cu,SISTER,puna
1074,Co,SISTER,'nu
1075,Ica,SISTER,'zati
1076,Da,SISTER,'asi
1077,Chi,SISTER,dʒe:
1078,Mu,SISTER,ɣuahatsa
1079,Tun,SISTER,ʃi'ta
1080,Ba,SISTER,sí
1081,LS,LIVER,muts'u
1082,LH,LIVER,musu
1083,Ca,LIVER,kawa
1084,Su,LIVER,isiŋ
1085,Ul,LIVER,asuŋ
1086,Mi,LIVER,awja
1087,Pa,LIVER,hɾá
1088,Ra,LIVER,psa
1089,Gua,LIVER,kua:ki
1090,Bor,LIVER,kóʔk
1091,Bri,LIVER,ẽ̂d
1092,Cab,LIVER,hẽ̂d
1093,Te,LIVER,uò
1094,Mo,LIVER,mɔtɔ
1095,Bor,LIVER,takwa
1096,Dor,LIVER,hókoa
1097,Cu,LIVER,pi:na
1098,Co,LIVER,a'bita
1099,Ica,LIVER,'higəɾu
1100,Da,LIVER,anʒbita
1101,Chi,LIVER,'ka:wiʔ
1102,Mu,LIVER,tɨhɨβa
1103,Tun,LIVER,'tanuba
1104,Ba,LIVER,a:bĩba
1105,LS,LEAF,aw
1106,LH,LEAF,wala
1107,Ca,LEAF,taka
1108,Su,LEAF,bas
1109,Ul,LEAF,bas
1110,Mi,LEAF,waha
1111,Pa,LEAF,á
1112,Ra,LEAF,ka:
1113,Gua,LEAF,au:ki
1114,Bor,LEAF,ká
1115,Bri,LEAF,kʊ́
1116,Cab,LEAF,kʊ́
1117,Te,LEAF,kʰɺógà
1118,Mo,LEAF,kʔ
1119,Bor,LEAF,ga
1120,Dor,LEAF,kaláʔka
1121,Cu,LEAF,ka:
1122,Co,LEAF,kai
1123,Ica,LEAF,'atʃɨ
1124,Da,LEAF,ata
1125,Chi,LEAF,ka:
1126,Mu,LEAF,kɨe
1127,Tun,LEAF,'kaja
1128,Ba,LEAF,ka
1129,LS,MAN,iʃku
1130,LH,MAN,misu
1131,Ca,MAN,misil
1132,Su,MAN,al
1133,Ul,MAN,al
1134,Mi,MAN,wajtna
1135,Pa,MAN,àɾwã́
1136,Ra,MAN,nki:kna
1137,Gua,MAN,otʃa:paka:
1138,Bor,MAN,kóŋróxk
1139,Bri,MAN,uɪ̂b
1140,Cab,MAN,hadʒɪ́uàʔ
1141,Te,MAN,dòbén
1142,Mo,MAN,bɾaɾe
1143,Bor,MAN,blále
1144,Dor,MAN,taro
1145,Cu,MAN,matʃeɾet
1146,Co,MAN,si'gi
1147,Ica,MAN,'tʃeiɾwa
1148,Da,MAN,te'ɾua
1149,Chi,MAN,sa:wiɾi
1150,Mu,MAN,tʲa
1151,Tun,MAN,'seɾa
1152,Ba,MAN,na
1153,LS,BONE,ts'eh
1154,LH,BONE,sek
1155,Ca,BONE,naman
1156,Su,BONE,wakal
1157,Ul,BONE,wakal
1158,Mi,BONE,dusa
1159,Pa,BONE,pájã̀
1160,Ra,BONE,a:luk
1161,Gua,BONE,ko:ɾa
1162,Bor,BONE,dètkɾá
1163,Bri,BONE,ditʃǎʔ
1164,Cab,BONE,tʃitʃʔá
1165,Te,BONE,dobógɺo
1166,Mo,BONE,kɾɔ
1167,Bor,BONE,gda
1168,Dor,BONE,koné
1169,Cu,BONE,kala
1170,Co,BONE,zalakala
1171,Ica,BONE,'wesu
1172,Da,BONE,kɨkɨɾa
1173,Chi,BONE,kɨ:kɾaʔ
1174,Mu,BONE,kɨnɨ
1175,Tun,BONE,'kaɾaɾa
1176,Ba,BONE,kana
1177,LS,SMOKE (EXHAUST),mo
1178,LH,SMOKE (EXHAUST),po:ɾo
1179,Ca,SMOKE (EXHAUST),kiba
1180,Su,SMOKE (EXHAUST),wajau
1181,Ul,SMOKE (EXHAUST),waju
1182,Mi,SMOKE (EXHAUST),kjasma
1183,Pa,SMOKE (EXHAUST),wãs
1184,Ra,SMOKE (EXHAUST),sawa
1185,Gua,SMOKE (EXHAUST),uxu:ma
1186,Bor,SMOKE (EXHAUST),dʒìdʒà
1187,Bri,SMOKE (EXHAUST),ʃkaɺã̂
1188,Cab,SMOKE (EXHAUST),ʃkaɺã́
1189,Te,SMOKE (EXHAUST),ɲó
1190,Mo,SMOKE (EXHAUST),ŋɯbɯ
1191,Bor,SMOKE (EXHAUST),hiã́
1192,Dor,SMOKE (EXHAUST),kébusa
1193,Cu,SMOKE (EXHAUST),wa:
1194,Co,SMOKE (EXHAUST),ihia
1195,Ica,SMOKE (EXHAUST),'zatʃa
1196,Da,SMOKE (EXHAUST),suta
1197,Chi,SMOKE (EXHAUST),'iŋŋaʔ
1198,Mu,SMOKE (EXHAUST),ie
1199,Tun,SMOKE (EXHAUST),'ijaɾa
1200,Ba,SMOKE (EXHAUST),inakba
1201,LS,LONG,kota
1202,LH,LONG,kasi
1203,Ca,LONG,wisnika
1204,Su,LONG,najni
1205,Ul,LONG,juhka
1206,Mi,LONG,jaɾi
1207,Pa,LONG,bà:jkti
1208,Ra,LONG,suma
1209,Gua,LONG,ɬaɾa:tene:
1210,Bor,LONG,biògát
1211,Bri,LONG,bitsĩ̌
1212,Cab,LONG,batsĩ́
1213,Te,LONG,kʰɺòtáɾeŋ
1214,Mo,LONG,ŋa
1215,Bor,LONG,heike
1216,Dor,LONG,kiágal
1217,Cu,LONG,suiti
1218,Co,LONG,'ueĩʒiluka
1219,Ica,LONG,'gaɾi
1220,Da,LONG,ɾiinukka
1221,Chi,LONG,gaɾihŋa:te
1222,Mu,LONG,ɣahasio
1223,Tun,LONG,ena'ɾa
1224,Ba,LONG,akbakɨ
1225,LS,CLEAN,ts'ih
1226,LH,CLEAN,sak
1227,Ca,CLEAN,saka
1228,Su,CLEAN,suh
1229,Ul,CLEAN,suh
1230,Mi,CLEAN,tusk
1231,Pa,CLEAN,súk
1232,Ra,CLEAN,suk
1233,Gua,CLEAN,ɬoki:
1234,Bor,CLEAN,túxk
1235,Bri,CLEAN,suk
1236,Cab,CLEAN,sku
1237,Te,CLEAN,kuóʃkuɪ̀
1238,Mo,CLEAN,bɔtete
1239,Bor,CLEAN,glige
1240,Dor,CLEAN,
1241,Cu,CLEAN,enukke
1242,Co,CLEAN,ihi'ʒihiĩ
1243,Ica,CLEAN,aʔ'tʃukkw
1244,Da,CLEAN,atukw
1245,Chi,CLEAN,'tukkua
1246,Mu,CLEAN,tʲuhu
1247,Tun,CLEAN,su'kwi
1248,Ba,CLEAN,duk
1249,LS,FAR,kota
1250,LH,FAR,kota
1251,Ca,FAR,ataptika
1252,Su,FAR,nai
1253,Ul,FAR,bai
1254,Mi,FAR,lajhura
1255,Pa,FAR,kã:ɾà
1256,Ra,FAR,naɾbik
1257,Gua,FAR,kartau:ni
1258,Bor,FAR,káuìk
1259,Bri,FAR,kã̂bĩ̌
1260,Cab,FAR,kãbĩ̂ĩ̂
1261,Te,FAR,ɸòla
1262,Mo,FAR,mẽte
1263,Bor,FAR,bate
1264,Dor,FAR,héppe
1265,Cu,FAR,panna
1266,Co,FAR,male'zenka
1267,Ica,FAR,'peikɨ
1268,Da,FAR,ma'ɾaʒanekka
1269,Chi,FAR,matta
1270,Mu,FAR,ahuen maɣue
1271,Tun,FAR,bi'ɾa
1272,Ba,FAR,ittikkiɲa
1273,LS,TONGUE,nepal
1274,LH,TONGUE,nepel
1275,Ca,TONGUE,tum
1276,Su,TONGUE,tu
1277,Ul,TONGUE,tu
1278,Mi,TONGUE,twisa
1279,Pa,TONGUE,ùwà
1280,Ra,TONGUE,ku:p
1281,Gua,TONGUE,ku:
1282,Bor,TONGUE,kuátkuà
1283,Bri,TONGUE,kǔʔ
1284,Cab,TONGUE,kú
1285,Te,TONGUE,kʰèɾkuó
1286,Mo,TONGUE,tɯdɾɔ
1287,Bor,TONGUE,kwiɾa
1288,Dor,TONGUE,kuba
1289,Cu,TONGUE,kwapinni
1290,Co,TONGUE,hu'angala
1291,Ica,TONGUE,ko'ɾiʔgənɨ
1292,Da,TONGUE,kongɨɾa
1293,Chi,TONGUE,ku'a:ʔ
1294,Mu,TONGUE,pkua
1295,Tun,TONGUE,'kuwa
1296,Ba,TONGUE,kobẽ:
1297,LS,MOON,lets'a
1298,LH,MOON,mesti
1299,Ca,MOON,ajku
1300,Su,MOON,wajku
1301,Ul,MOON,wajku
1302,Mi,MOON,kãti
1303,Pa,MOON,jwì
1304,Ra,MOON,tukan
1305,Gua,MOON,ɬixi:
1306,Bor,MOON,tèbéx
1307,Bri,MOON,sǐuʊ̀
1308,Cab,MOON,tuɺù
1309,Te,MOON,mók
1310,Mo,MOON,sɣ
1311,Bor,MOON,dai
1312,Dor,MOON,sirila
1313,Cu,MOON,ni:
1314,Co,MOON,'saka
1315,Ica,MOON,'tima
1316,Da,MOON,saga
1317,Chi,MOON,maʔmasu
1318,Mu,MOON,tʲie
1319,Tun,MOON,siʔ'joɾa
1320,Ba,MOON,tiba:
1321,LS,CRY,kaj
1322,LH,CRY,aj
1323,Ca,CRY,walwa
1324,Su,CRY,ajdi
1325,Ul,CRY,ajda
1326,Mi,CRY,in
1327,Pa,CRY,àkàh
1328,Ra,CRY,paun
1329,Gua,CRY,xue:
1330,Bor,CRY,bò
1331,Bri,CRY,iĩ
1332,Cab,CRY,hĩ
1333,Te,CRY,sɾáɾ
1334,Mo,CRY,mui
1335,Bor,CRY,moe
1336,Dor,CRY,bos
1337,Cu,CRY,po
1338,Co,CRY,'mau
1339,Ica,CRY,mau
1340,Da,CRY,áuau
1341,Chi,CRY,'o:ni
1342,Mu,CRY,kon
1343,Tun,CRY,ko'ni
1344,Ba,CRY,kona
1345,LS,MOTHER,laNke
1346,LH,MOTHER,mina
1347,Ca,MOTHER,ami
1348,Su,MOTHER,itaŋ
1349,Ul,MOTHER,itaŋ
1350,Mi,MOTHER,japti
1351,Pa,MOTHER,kákì
1352,Ra,MOTHER,aiɾuŋ
1353,Gua,MOTHER,su:
1354,Bor,MOTHER,bè
1355,Bri,MOTHER,abĩ́
1356,Cab,MOTHER,bĩ́daã̀
1357,Te,MOTHER,mé
1358,Mo,MOTHER,meje
1359,Bor,MOTHER,tʃebi
1360,Dor,MOTHER,toó
1361,Cu,MOTHER,nana
1362,Co,MOTHER,'haba
1363,Ica,MOTHER,'zaku
1364,Da,MOTHER,abu
1365,Chi,MOTHER,ka:hmanta
1366,Mu,MOTHER,ɣuaia
1367,Tun,MOTHER,a'ba
1368,Ba,MOTHER,abama
1369,LS,BAD,ʃamtoa
1370,LH,BAD,kiauɾu
1371,Ca,BAD,jamua
1372,Su,BAD,dutni
1373,Ul,BAD,dutka
1374,Mi,BAD,sawɾa
1375,Pa,BAD,wàɾkwá
1376,Ra,BAD,kwahala
1377,Gua,BAD,eme: koka:ɾiŋa
1378,Bor,BAD,sádʒèŋ
1379,Bri,BAD,suɺǔ
1380,Cab,BAD,saɺuí
1381,Te,BAD,ó
1382,Mo,BAD,kɔme
1383,Bor,BAD,me no
1384,Dor,BAD,irógla
1385,Cu,BAD,itʃakkwakwa
1386,Co,BAD,'ʃane
1387,Ica,BAD,du naʔ neika
1388,Da,BAD,unanduanéka
1389,Chi,BAD,dʒo:ta
1390,Mu,BAD,atʲuentsa
1391,Tun,BAD,aj batɾo
1392,Ba,BAD,atakkasu
1393,LS,HAND,koʃaka
1394,LH,HAND,kulala
1395,Ca,HAND,panam
1396,Su,HAND,tin
1397,Ul,HAND,tin
1398,Mi,HAND,mihta
1399,Pa,HAND,swà
1400,Ra,HAND,kwi:k
1401,Gua,HAND,kuki:
1402,Bor,HAND,dʒùɾéʔ
1403,Bri,HAND,uɺa
1404,Cab,HAND,huɺà
1405,Te,HAND,óɾkuò
1406,Mo,HAND,kise
1407,Bor,HAND,ko
1408,Dor,HAND,kul
1409,Cu,HAND,aɾkan
1410,Co,HAND,'kokala
1411,Ica,HAND,'gunnɨ
1412,Da,HAND,'gula
1413,At,HAND,gúna
1414,Chi,HAND,hattakɾa
1415,Mu,HAND,ɨta
1416,Tun,HAND,'atkaɾa
1417,Ba,HAND,akdu
1418,LS,KILL,ʃil
1419,LH,KILL,kas
1420,Ca,KILL,kulina
1421,Su,KILL,i:
1422,Ul,KILL,i:
1423,Mi,KILL,ik
1424,Pa,KILL,àmàs
1425,Ra,KILL,maliŋ
1426,Gua,KILL,kua:
1427,Bor,KILL,áiʔ
1428,Bri,KILL,kʊt
1429,Cab,KILL,kot
1430,Te,KILL,zɾʊ́k
1431,Mo,KILL,kɔmike
1432,Bor,KILL,gweda
1433,Dor,KILL,
1434,Cu,KILL,opurkwe
1435,Co,KILL,gu'aʃ
1436,Ica,KILL,'gwak
1437,Da,KILL,gwaʒ
1438,Chi,KILL,gwah
1439,Mu,KILL,ɣu
1440,Tun,KILL,ja'uwi
1441,Ba,KILL,so
1442,LS,MOUNTAIN,kotaN
1443,LH,MOUNTAIN,kotaN
1444,Ca,MOUNTAIN,karan
1445,Su,MOUNTAIN,asaŋ
1446,Ul,MOUNTAIN,asaŋ
1447,Mi,MOUNTAIN,asaŋ taɾa
1448,Pa,MOUNTAIN,ʃókà
1449,Ra,MOUNTAIN,ta:sup
1450,Gua,MOUNTAIN,okteki:
1451,Bor,MOUNTAIN,dʒàbáʔtáŋ
1452,Bri,MOUNTAIN,kã̂ batà
1453,Cab,MOUNTAIN,kã́ batà
1454,Te,MOUNTAIN,dɺùb
1455,Mo,MOUNTAIN,ŋutio
1456,Bor,MOUNTAIN,hwitʃuga
1457,Dor,MOUNTAIN,tuú
1458,Cu,MOUNTAIN,jala
1459,Co,MOUNTAIN,ge'ka
1460,Ica,MOUNTAIN,'gwiɾkənɨ
1461,Da,MOUNTAIN,ʃimu'rua
1462,Chi,MOUNTAIN,ittikoŋkɾa
1463,Mu,MOUNTAIN,ɣua
1464,Tun,MOUNTAIN,'kubaɾa
1465,Ba,MOUNTAIN,ɲena
1466,LS,BITE,ti
1467,LH,BITE,kaj
1468,Ca,BITE,api
1469,Su,BITE,kas
1470,Ul,BITE,kas
1471,Mi,BITE,sam
1472,Pa,BITE,sáhkɾàh
1473,Ra,BITE,aɾŋul
1474,Gua,BITE,tʃiu:
1475,Bor,BITE,túʔ
1476,Bri,BITE,kʊ
1477,Cab,BITE,kʊ
1478,Te,BITE,uɪ́
1479,Mo,BITE,kwet
1480,Bor,BITE,gute
1481,Dor,BITE,
1482,Cu,BITE,kunn
1483,Co,BITE,hau'lihiĩ
1484,Ica,BITE,kə'kus
1485,Da,BITE,ʒangaka
1486,Chi,BITE,ɾa:gwa
1487,Mu,BITE,ka
1488,Tun,BITE,'koʔ
1489,Ba,BITE,ko
1490,LS,WOMAN,sija
1491,LH,WOMAN,mop
1492,Ca,WOMAN,juara
1493,Su,WOMAN,jal
1494,Ul,WOMAN,jal
1495,Mi,WOMAN,majrin
1496,Pa,WOMAN,kóɾtà
1497,Ra,WOMAN,kuma:
1498,Gua,WOMAN,kuɾi:xuɾi:
1499,Bor,WOMAN,ɾamɾóxk
1500,Bri,WOMAN,aɺákʊ̀ɺ
1501,Cab,WOMAN,aɺâkɺʊ̀
1502,Te,WOMAN,uàɺɪ́
1503,Mo,WOMAN,meɾi
1504,Bor,WOMAN,mũĩŋa
1505,Dor,WOMAN,biá
1506,Cu,WOMAN,ome
1507,Co,WOMAN,'munʒi
1508,Ica,WOMAN,aʔ'mia
1509,Da,WOMAN,'mena
1510,Chi,WOMAN,dʒuwiɾi
1511,Mu,WOMAN,βuhutʲa
1512,Tun,WOMAN,wi'w̃a
1513,Ba,WOMAN,bio
1514,LS,NOSE,nepkuɾu
1515,LH,NOSE,nepsek
1516,Ca,NOSE,namn
1517,Su,NOSE,nam
1518,Ul,NOSE,nantak
1519,Mi,NOSE,kakma
1520,Pa,NOSE,tã́jsá
1521,Ra,NOSE,taik
1522,Gua,NOSE,tai:ki
1523,Bor,NOSE,ʃìská
1524,Bri,NOSE,dʒɪ̂k
1525,Cab,NOSE,dʒík
1526,Te,NOSE,nékuò
1527,Mo,NOSE,ĩsɔ̃
1528,Bor,NOSE,se
1529,Dor,NOSE,nekó
1530,Cu,NOSE,asu
1531,Co,NOSE,hũ'nũkala
1532,Ica,NOSE,mi'suŋɨ
1533,Da,NOSE,mĩʃu'a
1534,Chi,NOSE,da:
1535,Mu,NOSE,saka
1536,Tun,NOSE,'reʃa
1537,Ba,NOSE,nissa
1538,LS,BLACK,sinka
1539,LH,BLACK,siɾi
1540,Ca,BLACK,mulka
1541,Su,BLACK,sa:ni
1542,Ul,BLACK,baraska
1543,Mi,BLACK,siksa
1544,Pa,BLACK,sã̀wnkwa
1545,Ra,BLACK,paɾŋa
1546,Gua,BLACK,utʃu:li iŋa:
1547,Bor,BLACK,tùɾìnát
1548,Bri,BLACK,daɺǒɺǒ
1549,Cab,BLACK,doɺódã̀
1550,Te,BLACK,sòksĩ́
1551,Mo,BLACK,dɾɯne
1552,Bor,BLACK,heɾe
1553,Dor,BLACK,saná
1554,Cu,BLACK,sitʃi
1555,Co,BLACK,a'baksɯ
1556,Ica,BLACK,twi kawa
1557,Da,BLACK,amɨkʃi
1558,Chi,BLACK,sih'tu
1559,Mu,BLACK,mɨhɨsio
1560,Tun,BLACK,ti'kaja
1561,Ba,BLACK,ma:
1562,LS,CHILD,wewe
1563,LH,CHILD,wewe
1564,Ca,CHILD,misa
1565,Su,CHILD,muihbin
1566,Ul,CHILD,baka
1567,Mi,CHILD,tuktan
1568,Pa,CHILD,jé
1569,Ra,CHILD,ti:skama
1570,Gua,CHILD,aɾaptʃa:
1571,Bor,CHILD,uáʔ
1572,Bri,CHILD,aɺá
1573,Cab,CHILD,dʒabà
1574,Te,CHILD,ã́ũã̀
1575,Mo,CHILD,nɔbɔgɾe
1576,Bor,CHILD,kiɾogwa
1577,Dor,CHILD,áni
1578,Cu,CHILD,matʃikwa
1579,Co,CHILD,'sukua
1580,Ica,CHILD,gəmmɨ'sinɨ
1581,Da,CHILD,gɨmɨntina
1582,Chi,CHILD,'oggwe
1583,Mu,CHILD,ɣuasɣua
1584,Tun,CHILD,'saha
1585,Ba,CHILD,baku
1586,LS,NO,ke
1587,LH,NO,te
1588,Ca,NO,san
1589,Su,NO,sa
1590,Ul,NO,sa
1591,Mi,NO,s
1592,Pa,NO,t
1593,Ra,NO,a:
1594,Gua,NO,e:pe
1595,Bor,NO,íʔʃì
1596,Bri,NO,kɪ́
1597,Cab,NO,ká
1598,Te,NO,ʒɪ́m
1599,Mo,NO,ɲakaɾe
1600,Bor,NO,me
1601,Dor,NO,
1602,Cu,NO,suli
1603,Co,NO,sa
1604,Ica,NO,uʔ
1605,Da,NO,ung
1606,Chi,NO,dʒumma
1607,Mu,NO,tsa
1608,Tun,NO,'baɾ
1609,Ba,NO,akkaba
1610,LS,NIGHT,ts'upa
1611,LH,NIGHT,taNki
1612,Ca,NIGHT,iran
1613,Su,NIGHT,pukta
1614,Ul,NIGHT,pukka
1615,Mi,NIGHT,tihmja
1616,Pa,NIGHT,kàká
1617,Ra,NIGHT,kik
1618,Gua,NIGHT,tiu:ɾika:
1619,Bor,NIGHT,bìgát
1620,Bri,NIGHT,dadʒẽ̂uè
1621,Cab,NIGHT,tauídã̀
1622,Te,NIGHT,ʃkɪ́
1623,Mo,NIGHT,deu
1624,Bor,NIGHT,ŋaheɾe
1625,Dor,NIGHT,be
1626,Cu,NIGHT,muttikki
1627,Co,NIGHT,'sesɯn
1628,Ica,NIGHT,'seiaʔ
1629,Da,NIGHT,ʃe
1630,Chi,NIGHT,'sihnaka
1631,Mu,NIGHT,tsa
1632,Tun,NIGHT,'ʃejkaɾa
1633,Ba,NIGHT,sẽẽ
1634,LS,WE,pinani
1635,LH,WE,apinan
1636,Ca,WE,jamtakahi
1637,Su,WE,jaŋna
1638,Ul,WE,jaŋna
1639,Mi,WE,jaŋnani
1640,Ica,WE,untàs
1641,Ra,WE,nusut
1642,Gua,WE,toi:
1643,Bor,WE,dìʔ ɾóxk
1644,Bri,WE,sǎʔ
1645,Cab,WE,sá
1646,Te,WE,tʰã̀ũã́
1647,Mo,WE,nũ
1648,Bor,WE,tʃe
1649,Dor,WE,kuχúok
1650,Cu,WE,anmala
1651,Co,WE,'nasɯn
1652,Ica,WE,'níwi
1653,Da,WE,nawindina
1654,Tun,WE,'isa
1655,Chi,WE,na:ɾiɾaʔ
1656,Mu,WE,tʲie
1657,Ba,WE,tiɲi
1658,LS,CLOUD,ts'upa
1659,LH,CLOUD,tsopata
1660,Ca,CLOUD,amu
1661,Su,CLOUD,mukus
1662,Ul,CLOUD,mukus
1663,Mi,CLOUD,kasbrika
1664,Pa,CLOUD,wanàk
1665,Ra,CLOUD,nu:nikka:s
1666,Gua,CLOUD,piu:
1667,Bor,CLOUD,bók
1668,Bri,CLOUD,bṍ
1669,Cab,CLOUD,bõ̀
1670,Te,CLOUD,ɸóŋ
1671,Mo,CLOUD,mɯta
1672,Bor,CLOUD,boga
1673,Dor,CLOUD,bókála
1674,Cu,CLOUD,mola
1675,Co,CLOUD,'maui
1676,Ica,CLOUD,'məɲɨ
1677,Da,CLOUD,moɲa
1678,Chi,CLOUD,monse
1679,Mu,CLOUD,ʔaoa
1680,Tun,CLOUD,bowa'ɾa
1681,Ba,CLOUD,nĩɲĩkɨ
1682,LS,NEW,tuja
1683,LH,NEW,tuja
1684,Ca,NEW,misinan
